ema_fast,ema_slow,atr_stop,volume_filter,total_return,annual_return,max_drawdown,sharpe,trades,exposure,avg_bar_return_when_in_position,score
12,60,1.5,-0.2,-0.43002606407710153,-0.10641153340491138,-0.6724441338281917,-0.3584950104375378,1115,0.07470792259948887,0.0012686549524070902,-0.45338845063213334
12,60,2.0,-0.2,-0.43002606407710153,-0.10641153340491138,-0.6724441338281917,-0.3584950104375378,1115,0.07470792259948887,0.0012686549524070902,-0.45338845063213334
12,60,2.5,-0.2,-0.43002606407710153,-0.10641153340491138,-0.6724441338281917,-0.3584950104375378,1115,0.07470792259948887,0.0012686549524070902,-0.45338845063213334
12,60,3.0,-0.2,-0.43002606407710153,-0.10641153340491138,-0.6724441338281917,-0.3584950104375378,1115,0.07470792259948887,0.0012686549524070902,-0.45338845063213334
30,48,3.0,0.2,-0.47969342792749403,-0.12256896043489207,-0.6263151352325333,-0.6271216159085472,852,0.0380385177071924,0.002484862066546735,-0.45454017652841516
30,48,2.5,0.2,-0.47969342792749403,-0.12256896043489207,-0.6263151352325333,-0.6271216159085472,852,0.0380385177071924,0.002484862066546735,-0.45454017652841516
30,48,2.0,0.2,-0.47969342792749403,-0.12256896043489207,-0.6263151352325333,-0.6271216159085472,852,0.0380385177071924,0.002484862066546735,-0.45454017652841516
30,48,1.5,0.2,-0.47969342792749403,-0.12256896043489207,-0.6263151352325333,-0.6271216159085472,852,0.0380385177071924,0.002484862066546735,-0.45454017652841516
20,48,2.5,0.2,-0.48010580135656666,-0.12270818293028729,-0.628441191447807,-0.6252202801673123,864,0.03872307411464038,0.0024453006673526307,-0.45568538705921013
20,48,2.0,0.2,-0.48010580135656666,-0.12270818293028729,-0.628441191447807,-0.6252202801673123,864,0.03872307411464038,0.0024453006673526307,-0.45568538705921013
20,48,1.5,0.2,-0.48010580135656666,-0.12270818293028729,-0.628441191447807,-0.6252202801673123,864,0.03872307411464038,0.0024453006673526307,-0.45568538705921013
20,48,3.0,0.2,-0.48010580135656666,-0.12270818293028729,-0.628441191447807,-0.6252202801673123,864,0.03872307411464038,0.0024453006673526307,-0.45568538705921013
30,96,1.5,0.2,-0.5017907646799924,-0.13015693699860442,-0.6290022033188842,-0.6563484771748921,906,0.04004654983570646,0.0023543460080789383,-0.4643484929732933
30,96,2.0,0.2,-0.5017907646799924,-0.13015693699860442,-0.6290022033188842,-0.6563484771748921,906,0.04004654983570646,0.0023543460080789383,-0.4643484929732933
30,96,2.5,0.2,-0.5017907646799924,-0.13015693699860442,-0.6290022033188842,-0.6563484771748921,906,0.04004654983570646,0.0023543460080789383,-0.4643484929732933
30,96,3.0,0.2,-0.5017907646799924,-0.13015693699860442,-0.6290022033188842,-0.6563484771748921,906,0.04004654983570646,0.0023543460080789383,-0.4643484929732933
12,96,2.5,0.0,-0.45066122057128544,-0.11298204005320711,-0.6756452386387463,-0.4630838672883618,1103,0.05647590361445783,0.0016759848198404212,-0.4646971753912311
12,96,2.0,0.0,-0.45066122057128544,-0.11298204005320711,-0.6756452386387463,-0.4630838672883618,1103,0.05647590361445783,0.0016759848198404212,-0.4646971753912311
12,96,3.0,0.0,-0.45066122057128544,-0.11298204005320711,-0.6756452386387463,-0.4630838672883618,1103,0.05647590361445783,0.0016759848198404212,-0.4646971753912311
12,96,1.5,0.0,-0.45066122057128544,-0.11298204005320711,-0.6756452386387463,-0.4630838672883618,1103,0.05647590361445783,0.0016759848198404212,-0.4646971753912311
20,48,3.0,-0.2,-0.46142197326142753,-0.11648706751837501,-0.6751681185215124,-0.4150034473396297,1060,0.0713535962029938,0.0013272536586003058,-0.46652123019932007
20,48,2.5,-0.2,-0.46142197326142753,-0.11648706751837501,-0.6751681185215124,-0.4150034473396297,1060,0.0713535962029938,0.0013272536586003058,-0.46652123019932007
20,48,2.0,-0.2,-0.46142197326142753,-0.11648706751837501,-0.6751681185215124,-0.4150034473396297,1060,0.0713535962029938,0.0013272536586003058,-0.46652123019932007
20,48,1.5,-0.2,-0.46142197326142753,-0.11648706751837501,-0.6751681185215124,-0.4150034473396297,1060,0.0713535962029938,0.0013272536586003058,-0.46652123019932007
12,96,2.5,0.2,-0.49599144752117197,-0.12813986727030657,-0.6414974805181224,-0.6317600527282368,931,0.04139284410368748,0.0022850318713046715,-0.46784140911121486
12,96,1.5,0.2,-0.49599144752117197,-0.12813986727030657,-0.6414974805181224,-0.6317600527282368,931,0.04139284410368748,0.0022850318713046715,-0.46784140911121486
12,96,3.0,0.2,-0.49599144752117197,-0.12813986727030657,-0.6414974805181224,-0.6317600527282368,931,0.04139284410368748,0.0022850318713046715,-0.46784140911121486
12,96,2.0,0.2,-0.49599144752117197,-0.12813986727030657,-0.6414974805181224,-0.6317600527282368,931,0.04139284410368748,0.0022850318713046715,-0.46784140911121486
30,96,2.5,0.0,-0.4691163053082237,-0.11902779586506818,-0.6684425839038219,-0.5093906806837698,1074,0.05460478276743337,0.0017210421325571058,-0.4685308082374922
30,96,2.0,0.0,-0.4691163053082237,-0.11902779586506818,-0.6684425839038219,-0.5093906806837698,1074,0.05460478276743337,0.0017210421325571058,-0.4685308082374922
30,96,1.5,0.0,-0.4691163053082237,-0.11902779586506818,-0.6684425839038219,-0.5093906806837698,1074,0.05460478276743337,0.0017210421325571058,-0.4685308082374922
30,96,3.0,0.0,-0.4691163053082237,-0.11902779586506818,-0.6684425839038219,-0.5093906806837698,1074,0.05460478276743337,0.0017210421325571058,-0.4685308082374922
12,48,2.5,-0.2,-0.468103397146978,-0.11869164896768858,-0.6762065247706879,-0.4145033103060488,1105,0.07441128148959475,0.0012737793920652466,-0.469230010662214
12,48,3.0,-0.2,-0.468103397146978,-0.11869164896768858,-0.6762065247706879,-0.4145033103060488,1105,0.07441128148959475,0.0012737793920652466,-0.469230010662214
12,48,2.0,-0.2,-0.468103397146978,-0.11869164896768858,-0.6762065247706879,-0.4145033103060488,1105,0.07441128148959475,0.0012737793920652466,-0.469230010662214
12,48,1.5,-0.2,-0.468103397146978,-0.11869164896768858,-0.6762065247706879,-0.4145033103060488,1105,0.07441128148959475,0.0012737793920652466,-0.469230010662214
20,96,2.0,0.0,-0.47165914454465774,-0.11987393661784174,-0.6692613844283786,-0.5113169221396536,1081,0.055106790799561885,0.0017055602676166735,-0.46984413649622064
20,96,3.0,0.0,-0.47165914454465774,-0.11987393661784174,-0.6692613844283786,-0.5113169221396536,1081,0.055106790799561885,0.0017055602676166735,-0.46984413649622064
20,96,1.5,0.0,-0.47165914454465774,-0.11987393661784174,-0.6692613844283786,-0.5113169221396536,1081,0.055106790799561885,0.0017055602676166735,-0.46984413649622064
20,96,2.5,0.0,-0.47165914454465774,-0.11987393661784174,-0.6692613844283786,-0.5113169221396536,1081,0.055106790799561885,0.0017055602676166735,-0.46984413649622064
30,96,2.0,-0.2,-0.48781057871496203,-0.12532579923313347,-0.6673461751728746,-0.446837404276947,1147,0.0755065717415115,0.0012450929470205754,-0.4724040089478792
30,96,3.0,-0.2,-0.48781057871496203,-0.12532579923313347,-0.6673461751728746,-0.446837404276947,1147,0.0755065717415115,0.0012450929470205754,-0.4724040089478792
30,96,2.5,-0.2,-0.48781057871496203,-0.12532579923313347,-0.6673461751728746,-0.446837404276947,1147,0.0755065717415115,0.0012450929470205754,-0.4724040089478792
